Id,Camera,Angle,Width,Height,Facing
25059,R,76,62,138,F
25060,F,337,101,138,F
25061,X,212,99,100,X
25062,F,18,100,98,F
25063,R,108,40,49,X
25064,X,205,55,59,X
25065,F,16,64,70,F
25066,F,19,88,93,F
25067,R,68,59,76,F
25068,F,323,64,45,L
25069,X,203,69,68,X
25070,R,57,197,213,F
25071,L,243,75,82,X
25072,F,10,56,61,F
25073,X,200,46,45,X
25074,L,240,92,113,X
25075,R,44,191,166,F
25076,L,240,74,73,X
25077,F,16,115,116,F
25078,X,222,86,73,X
25079,R,66,71,115,F
25080,R,74,53,128,F
25081,R,45,295,217,F
25082,X,225,64,46,X
25083,R,80,184,202,F
25084,L,264,39,75,X
25085,R,62,123,176,F
25086,L,255,31,93,X
25087,F,36,165,141,F
25088,R,67,131,141,F
25089,F,33,117,134,F
25090,F,42,247,231,F
25091,X,221,81,77,X
25092,R,64,164,283,F
25093,L,249,53,107,X
25094,L,229,135,107,X
25095,F,15,36,48,F
25096,L,233,77,75,X
25097,R,70,95,140,F
25098,L,252,42,76,X
25099,L,245,70,78,X
25100,R,63,139,115,F
25101,R,51,183,199,F
25102,R,60,246,258,F
25103,F,33,135,130,F
25104,F,18,95,95,F
25105,R,68,72,90,F
25106,X,165,44,53,X
25107,X,212,43,44,X
25108,R,45,297,243,F
25109,R,68,123,210,F
25110,L,250,37,49,X
25111,R,77,53,105,F
25112,F,28,172,170,F
25113,X,195,32,38,X
25114,F,25,119,138,F
25115,L,253,56,101,X
25116,X,222,61,58,X
25117,R,76,148,230,F
25118,F,28,42,47,F
25119,L,262,36,75,F
25120,R,55,52,32,F
25121,X,224,83,79,X
25122,R,77,95,136,F
25123,L,239,57,110,X
25124,F,26,122,182,F
25125,L,242,52,52,X
25126,L,274,42,76,X
25127,F,28,87,120,F
25128,R,62,154,128,F
25129,F,18,86,100,F
25130,L,260,52,110,X
25131,L,244,44,53,X
25132,X,206,35,37,X
25133,R,70,80,141,F
25134,L,251,40,67,X
25135,L,317,59,47,F
25136,F,12,66,59,F
25137,L,233,141,109,X
25138,R,70,113,166,F
25139,L,266,63,97,F
25140,L,255,26,45,X
25141,R,60,219,214,F
25142,F,20,63,65,F
25143,L,230,101,88,X
25144,X,210,86,89,X
25145,R,52,230,220,F
25146,L,232,113,98,X
25147,F,41,114,123,F
25148,X,219,60,52,X
25149,F,38,125,122,F
25150,L,250,26,49,X
25151,L,231,42,33,X
25152,X,207,75,80,X
25153,R,71,80,164,F
25154,L,268,31,75,F
25155,L,253,50,82,X
25156,L,231,108,99,X
25157,X,214,117,108,X
25158,R,72,66,141,F
25159,R,51,163,154,F
25160,F,18,122,123,F
25161,L,250,75,125,X
25162,L,245,61,98,X
25163,X,215,39,37,X
25164,L,255,79,99,X
25165,L,249,70,71,X
25166,L,225,174,116,X
25167,L,241,91,118,X
25168,R,57,108,102,F
25169,X,202,36,36,X
25170,R,51,152,125,F
25171,X,231,45,46,X
25172,R,52,164,147,F
25173,X,210,37,53,X
25174,F,25,96,97,F
25175,R,66,115,290,F
25176,R,58,170,175,F
25177,F,16,85,87,F
25178,L,250,61,83,X
25179,R,69,69,72,F
25180,L,295,41,33,L
25181,R,62,124,152,F
25182,R,55,111,109,F
25183,R,64,176,170,F
25184,X,210,113,87,X
25185,R,49,234,198,F
25186,X,212,75,80,X
25187,F,29,65,60,F
25188,R,51,120,131,F
25189,R,50,103,100,F
25190,L,251,34,51,X
25191,R,60,233,303,F
25192,R,58,237,287,F
25193,R,80,98,190,F
25194,F,31,309,226,F
25195,R,55,115,137,F
25196,R,124,38,44,X
25197,L,246,56,80,X
25198,R,55,89,96,F
25199,R,115,45,45,R
25200,R,61,126,151,F
25201,F,26,35,48,F
25202,R,86,44,111,F
25203,X,230,139,117,X
25204,F,28,153,184,F
25205,L,307,141,152,F
25206,F,23,71,77,F
25207,R,44,289,302,F
25208,R,66,93,105,F
25209,R,51,210,214,F
25210,F,32,223,240,F
25211,L,241,87,133,X
25212,X,204,36,39,X
25213,F,23,69,73,F
25214,R,68,108,111,F
25215,X,203,85,69,X
25216,R,82,93,121,F
25217,L,247,62,113,X
25218,F,31,163,200,F
25219,X,219,111,124,X
25220,F,16,69,66,F
25221,R,58,167,171,F
25222,X,213,110,100,X
25223,F,42,157,182,F
25224,L,246,79,95,X
25225,F,46,161,156,F
25226,F,38,115,135,F
25227,R,71,82,141,X
25228,R,71,79,122,F
25229,R,74,138,162,F
25230,R,70,183,211,F
25231,R,65,114,137,F
25232,R,80,45,56,R
25233,L,277,42,55,X
25234,R,53,186,153,F
25235,R,64,151,179,F
25236,F,25,235,209,F
25237,L,242,75,101,X
25238,X,214,73,78,X
25239,F,32,166,153,F
25240,X,202,62,63,X
25241,L,248,49,83,X
25242,X,222,56,49,X
25243,F,23,77,79,F
25244,X,227,125,109,X
25245,R,47,223,199,F
25246,F,33,90,98,F
25247,R,66,140,161,F
25248,F,20,79,83,F
25249,L,266,36,108,X
25250,R,58,126,118,F
25251,F,17,148,134,F
25252,R,85,42,45,F
25253,R,46,326,232,F
25254,F,15,52,55,F
25255,F,45,255,300,F
25256,F,21,108,119,F
25257,R,58,82,100,F
25258,F,24,125,127,F
25259,R,68,56,45,F
25260,F,19,133,137,F
25261,R,63,83,95,F
25262,F,48,162,190,F
25263,L,248,64,157,X
25264,X,226,135,153,X
25265,L,259,32,37,X
25266,F,41,131,131,F
25267,X,197,42,45,X
25268,F,328,45,33,L
25269,F,30,111,116,F
25270,L,229,54,45,X
25271,X,213,51,60,X
25272,R,115,38,33,X
25273,X,218,128,135,X
25274,F,39,156,144,F
25275,R,42,154,157,F
25276,R,64,236,226,F
25277,R,50,207,192,F
25278,X,225,147,141,X
25279,R,78,50,90,F
25280,R,70,165,156,F
25281,L,259,44,52,L
25282,F,13,68,77,F
25283,X,213,40,45,X
25284,F,29,118,120,F
25285,X,203,56,61,X
25286,X,217,111,103,X
25287,X,224,65,65,X
25288,R,78,57,123,F
25289,R,77,53,105,F
25290,R,126,42,32,X
25291,F,30,101,105,F
25292,F,29,133,138,F
25293,L,232,52,54,X
25294,X,205,36,39,X
25295,F,46,136,156,F
25296,L,231,62,49,X
25297,X,216,73,44,X
25298,R,65,55,86,F
25299,R,75,47,69,F
25300,R,52,136,154,F
25301,F,41,317,289,F
25302,X,216,128,127,X
25303,F,24,116,112,F
25304,F,9,30,50,F
25305,R,74,197,250,F
25306,X,209,124,108,X
25307,R,52,221,214,F
25308,F,33,109,103,F
25309,X,226,129,140,X
25310,F,31,190,185,F
25311,F,357,49,60,F
25312,F,41,96,98,F
25313,F,12,62,61,F
25314,R,55,162,185,F
25315,X,199,33,35,X
25316,F,30,160,158,F
25317,X,222,130,104,X
25318,F,40,146,130,F
25319,X,211,70,78,X
25320,F,18,97,90,F
25321,R,73,76,132,F
25322,F,18,150,141,F
25323,F,320,116,86,L
25324,R,51,199,170,F
25325,L,265,40,77,F
25326,R,60,169,193,F
25327,L,245,48,62,X
25328,R,46,199,186,F
25329,R,64,154,133,R
25330,L,309,136,117,F
25331,R,69,110,159,F
25332,R,79,75,127,F
25333,R,57,137,149,F
25334,F,20,84,81,F
25335,R,61,159,192,F
25336,F,25,123,130,F
25337,L,260,50,102,X
25338,R,110,39,35,X
25339,R,69,102,144,F
25340,F,25,143,153,F
25341,L,236,46,60,X
25342,R,77,85,194,F
25343,F,34,195,197,F
25344,F,13,65,68,F
25345,R,73,96,165,F
25346,R,68,135,163,F
25347,F,25,135,144,F
25348,F,39,278,223,F
25349,R,54,289,274,F
25350,R,53,141,240,F
25351,L,234,84,80,X
25352,R,64,151,156,F
25353,L,239,37,34,X
25354,L,249,77,110,X
25355,L,236,83,84,X
25356,F,21,107,116,F
25357,L,244,75,95,F
25358,L,244,69,94,X
25359,R,86,54,59,R
25360,X,213,83,67,X
25361,L,246,97,132,X
25362,L,246,74,112,X
25363,R,70,109,139,F
25364,L,265,48,93,F
25365,F,23,65,83,F
25366,F,31,122,130,F
25367,X,205,45,45,X
25368,F,27,81,78,F
25369,L,274,35,38,L
25370,F,22,82,103,F
25371,R,76,200,297,F
25372,L,245,45,62,X
25373,R,54,120,101,F
25374,L,253,50,60,X
25375,F,12,64,62,F
25376,F,22,104,110,F
25377,X,215,43,42,X
25378,F,22,64,71,F
25379,L,232,83,68,X
25380,X,214,50,50,X
25381,L,242,99,84,X
25382,X,201,73,71,X
25383,R,88,56,73,F
25384,F,16,46,53,F
25385,F,43,148,138,F
25386,X,234,50,50,X
25387,R,88,92,254,F
25388,R,75,57,122,F
25389,R,91,48,63,R
25390,X,198,36,34,X
25391,F,323,46,50,F
25392,R,69,47,69,F
25393,L,242,68,75,X
25394,L,239,85,76,X
25395,L,256,46,128,X
25396,R,77,68,166,F
25397,L,273,46,58,L
25398,L,252,52,93,X
25399,F,20,102,117,F
25400,L,237,46,43,X
25401,X,209,83,88,X
25402,L,230,89,93,X
25403,F,33,146,142,F
25404,F,18,67,56,F
25405,L,230,89,80,X
25406,R,57,137,146,F
25407,F,21,67,66,F
25408,X,226,86,83,X
25409,R,77,74,152,F
25410,X,212,43,41,X
25411,L,225,116,87,X
25412,F,30,114,117,F
25413,L,252,50,74,X
25414,F,36,215,125,F
25415,R,63,181,182,F
25416,L,262,60,91,F
25417,R,73,53,106,F
25418,R,47,87,61,F
25419,X,216,66,63,X
25420,F,39,164,156,F
25421,L,257,26,68,X
25422,R,57,118,98,F
25423,F,29,184,182,F
25424,L,258,44,81,X
25425,X,215,39,37,X
25426,F,32,278,251,F
25427,R,76,44,95,F
25428,R,75,74,144,F
25429,R,64,151,138,F
25430,L,293,45,51,F
25431,R,46,168,158,F
25432,R,75,34,36,F
25433,L,256,76,131,X
25434,X,219,104,88,X
25435,L,255,31,61,X
25436,R,63,93,115,F
25437,X,224,96,84,X
25438,F,21,61,57,F
25439,R,77,66,117,F
25440,F,27,111,111,F
25441,F,23,93,104,F
25442,R,70,79,120,F
25443,X,213,39,47,X
25444,R,83,80,163,F
25445,F,20,79,101,F
25446,L,251,33,36,X
25447,R,72,43,66,F
25448,X,213,55,63,X
25449,L,241,75,102,X
25450,X,205,36,38,X
25451,L,239,83,93,X
25452,X,206,84,95,X
25453,F,50,35,40,F
25454,F,3,48,49,F
25455,F,22,151,152,F
25456,L,246,84,115,X
25457,R,105,42,44,R
25458,L,231,49,46,X
25459,R,44,152,134,F
25460,F,17,139,136,F
25461,R,73,83,137,F
25462,R,51,226,235,F
25463,L,254,63,113,X
25464,L,245,79,113,X
25465,L,223,179,148,X
25466,X,222,111,98,X
25467,F,20,71,60,F
25468,R,49,118,120,F
25469,F,27,83,78,F
25470,F,15,82,79,F
25471,X,213,73,60,X
25472,F,26,179,169,F
25473,F,47,210,238,F
25474,L,245,76,93,X
25475,X,224,68,59,X
25476,L,236,100,114,X
25477,R,52,194,171,F
25478,R,69,100,143,F
25479,R,58,156,135,F
25480,R,60,70,155,F
25481,X,209,71,80,X
25482,F,15,40,36,F
25483,X,211,33,34,X
25484,X,136,66,42,R
25485,L,253,52,106,X
25486,F,21,100,104,F
25487,L,246,101,136,X
25488,L,253,41,80,X
25489,L,230,81,71,X
25490,F,28,133,118,F
25491,L,232,41,35,X
25492,F,11,38,35,F
25493,L,236,46,104,X
25494,R,103,68,83,R
25495,F,18,54,54,F
25496,X,202,75,69,X
25497,X,214,80,80,X
25498,F,26,81,85,F
25499,R,66,161,168,F
25500,F,28,54,69,R
25501,F,19,68,64,F
25502,F,31,69,62,F
25503,F,25,112,108,F
25504,X,218,91,79,X
25505,F,27,152,163,F
25506,R,57,98,102,F
25507,X,194,83,93,X
25508,F,25,71,68,F
25509,F,43,168,154,F
25510,F,35,142,168,F
25511,L,254,47,113,X
25512,R,63,74,117,F
25513,R,44,48,34,F
25514,X,225,51,43,X
25515,L,249,122,120,X
25516,R,63,116,154,F
25517,X,214,111,114,X
25518,F,15,48,50,F
25519,L,245,60,77,X
25520,R,49,151,121,F
25521,R,83,77,150,F
25522,F,18,76,87,F
25523,X,202,43,54,X
25524,F,29,267,258,F
25525,R,75,61,88,F
25526,R,81,64,150,F
25527,X,203,42,49,X
25528,L,248,64,92,X
25529,L,248,48,83,X
25530,F,34,88,92,F
25531,L,277,39,49,F
25532,X,196,47,50,X
25533,L,251,126,135,X
25534,X,206,57,58,X
25535,R,75,42,81,F
25536,R,65,126,157,F
25537,R,62,48,42,R
25538,R,63,114,156,F
25539,R,53,165,142,F
25540,F,47,184,180,F
25541,X,216,121,117,X
25542,R,44,177,152,F
25543,X,206,50,51,X
25544,L,256,95,123,F
25545,R,48,185,151,F
25546,F,41,51,32,F
25547,X,201,50,54,X
25548,X,215,66,62,X
25549,X,210,57,59,X
25550,X,209,71,70,X
25551,X,229,49,73,X
25552,L,259,61,112,X
25553,X,212,64,65,X
25554,X,203,57,60,X
25555,R,54,142,160,F
25556,X,198,62,59,X
25557,X,208,47,47,X
25558,X,204,35,36,X
25559,X,208,42,41,X
25560,R,48,136,135,F
25561,R,68,103,184,F
25562,R,51,115,106,F
25563,X,217,74,80,X
25564,F,20,99,108,F
25565,R,75,127,238,F
25566,R,72,213,241,F
25567,R,81,44,108,F
25568,R,85,55,117,F
25569,F,18,98,104,F
25570,L,236,104,82,F
25571,L,246,62,74,X
25572,L,255,45,82,X
25573,R,73,125,268,F
25574,F,15,49,53,F
25575,R,79,43,103,F
25576,L,250,62,102,X
25577,R,57,145,159,F
25578,F,30,121,117,F
25579,L,239,87,119,X
25580,L,235,69,70,X
25581,L,247,59,98,X
25582,L,238,44,37,X
25583,L,254,50,76,X
25584,L,244,37,55,X
25585,F,24,74,72,F
25586,L,242,85,126,X
25587,X,227,58,54,X
25588,L,248,62,112,X
25589,L,245,45,63,X
25590,X,200,37,45,X
25591,X,227,59,45,X
25592,X,218,63,47,X
25593,R,117,53,53,R
25594,R,69,42,39,F
25595,F,20,87,91,F
25596,L,242,85,144,X
25597,F,36,130,111,F
25598,X,207,81,70,X
25599,L,238,107,109,X
25600,L,248,91,127,X
25601,F,32,75,76,F
25602,X,212,41,42,X
25603,X,207,42,62,X
25604,L,249,69,130,X
25605,F,20,128,129,F
25606,R,47,141,117,F
25607,L,256,38,55,L
25608,F,13,46,46,F
25609,R,137,53,37,X
25610,X,222,37,40,X
25611,F,29,212,251,F
25612,R,66,216,281,F
25613,F,29,114,134,F
25614,F,30,173,134,F
25615,L,253,46,89,X
25616,F,23,83,74,F
25617,F,15,32,34,F
25618,L,251,45,83,X
25619,X,209,52,57,X
25620,F,24,112,101,F
25621,F,23,138,137,F
25622,L,241,74,92,X
25623,F,24,192,193,F
25624,R,74,58,119,F
25625,L,244,89,90,X
25626,F,7,59,57,F
25627,R,57,137,124,F
25628,L,239,88,107,X
25629,F,26,164,156,F
25630,L,232,142,128,X
25631,F,18,60,67,F
25632,R,66,85,97,F
25633,R,83,43,95,F
25634,L,231,78,54,X
25635,L,259,33,55,X
25636,R,76,129,175,F
25637,X,223,81,52,X
25638,R,61,156,226,F
25639,F,33,128,126,F
25640,R,52,128,113,F
25641,R,49,169,165,F
25642,R,67,119,149,F
25643,R,48,160,132,F
25644,F,46,255,297,F
25645,F,17,73,75,F
25646,R,42,114,93,F
25647,F,20,90,123,F
25648,R,67,91,126,F
25649,L,238,68,58,X
25650,R,42,90,73,F
25651,R,69,65,97,F
25652,L,275,38,47,F
25653,F,11,43,46,F
25654,R,102,85,91,X
25655,F,28,58,59,F
25656,X,218,43,46,X
25657,R,51,191,195,F
25658,R,79,124,232,F
25659,X,227,164,139,X
25660,F,29,103,107,F
25661,X,212,69,71,X
25662,X,208,72,69,X
25663,F,24,88,86,F
25664,X,216,86,77,X
25665,R,91,134,157,R
25666,R,69,211,266,F
25667,R,112,55,50,X
25668,R,49,142,128,F
25669,F,30,83,72,F
25670,L,248,89,130,X
25671,X,210,79,80,X
25672,L,236,48,34,X
25673,L,249,59,68,X
25674,L,247,47,54,X
25675,X,208,103,114,X
25676,F,18,74,83,F
25677,L,262,33,89,F
25678,X,205,67,64,X
25679,L,243,100,106,X
25680,F,29,120,141,F
25681,L,277,50,118,F
25682,R,66,34,38,F
25683,L,252,48,92,X
25684,L,254,44,69,X
25685,X,199,48,52,X
25686,L,224,92,84,X
25687,F,20,81,85,F
25688,X,214,79,97,X
25689,X,224,153,133,X
25690,F,14,94,92,F
25691,R,45,293,236,F
25692,F,15,110,112,F
25693,F,41,86,56,F
25694,F,41,133,129,F
25695,R,88,71,156,F
25696,X,218,112,112,X
25697,L,225,48,35,X
25698,L,248,67,68,X
25699,R,69,128,217,F
25700,F,45,85,74,F
25701,L,238,51,59,X
25702,X,207,46,42,X
25703,R,76,90,149,F
25704,L,252,67,102,L
25705,X,223,101,94,X
25706,X,212,94,89,X
25707,X,223,137,128,X
25708,X,212,37,34,X
25709,L,280,36,41,L
25710,X,213,79,77,X
25711,R,74,79,161,F
25712,F,36,163,173,F
25713,F,37,58,79,F
25714,R,71,77,144,F
25715,F,24,65,71,F
25716,F,18,62,80,F
25717,X,228,116,113,X
25718,R,66,111,150,F
25719,F,20,140,142,F
25720,R,79,60,122,F
25721,F,48,100,154,F
25722,X,174,50,47,X
25723,F,13,50,48,F
25724,R,60,134,141,F
25725,X,236,88,78,X
25726,L,251,54,57,X
25727,X,210,33,40,X
25728,X,218,69,73,X
25729,F,35,107,118,F
25730,F,22,86,118,F
25731,F,28,106,109,F
25732,X,202,40,39,X
25733,R,93,36,42,F
25734,L,253,51,87,X
25735,R,62,75,117,F
25736,R,70,79,138,F
25737,F,20,140,146,F
25738,L,247,56,103,X
25739,X,224,63,45,X
25740,L,306,127,130,F
25741,R,88,77,136,F
25742,X,225,109,113,X
25743,R,69,165,194,R
25744,F,21,96,105,F
25745,R,71,86,158,F
25746,F,18,96,99,F
25747,F,21,88,92,F
25748,F,23,60,63,F
25749,L,235,67,80,X
25750,L,251,35,78,X
25751,R,75,61,103,F
25752,L,258,58,123,X
25753,L,241,82,114,X
25754,F,17,52,58,F
25755,R,54,146,150,F
25756,L,254,90,126,X
25757,X,220,43,36,X
25758,L,266,34,37,F
25759,L,252,33,59,X
25760,F,23,223,209,F
25761,F,327,55,47,L
25762,F,25,81,89,F
25763,X,196,32,39,X
25764,F,49,94,86,F
25765,R,66,165,190,F
25766,L,270,51,56,L
25767,L,250,64,101,X
25768,R,47,208,192,F
25769,F,336,64,66,F
25770,F,322,194,202,F
25771,L,235,49,50,X
25772,L,264,37,71,F
25773,L,249,52,106,X
25774,F,13,76,79,F
25775,F,18,92,91,F
25776,X,226,171,147,X
25777,R,46,159,133,F
25778,R,56,163,168,F
25779,X,212,89,121,X
25780,X,219,105,100,X
25781,L,287,51,98,F
25782,L,247,62,80,X
25783,R,85,81,171,F
25784,F,18,79,87,F
25785,R,49,163,168,F
25786,X,217,76,92,X
25787,X,196,37,42,X
25788,R,64,178,244,F
25789,R,83,48,125,F
25790,F,19,58,69,F
25791,X,204,44,48,X
25792,R,42,133,111,F
25793,R,76,43,46,F
25794,R,77,62,127,F
25795,L,230,41,29,X
25796,L,254,39,76,X
25797,F,20,86,96,F
25798,R,64,86,137,F
25799,L,282,49,56,F
25800,X,196,33,38,X
25801,L,240,93,86,X
25802,R,45,199,136,F
25803,L,242,35,37,X
25804,R,48,282,225,F
25805,L,257,41,85,X
25806,L,249,100,141,X
25807,L,241,40,42,X
25808,F,30,198,176,F
25809,L,246,60,74,X
25810,F,40,83,75,F
25811,F,32,105,111,F
25812,F,39,201,220,F
25813,L,260,77,108,X
25814,R,65,110,145,F
25815,R,77,36,91,F
25816,F,23,64,67,F
25817,F,21,61,64,F
25818,X,214,39,39,X
25819,R,69,45,44,F
25820,R,98,40,44,R
25821,L,252,59,108,X
25822,X,141,45,33,X
25823,X,209,56,57,X
25824,F,17,53,71,F
25825,L,246,73,72,X
25826,F,9,33,35,F
25827,R,73,59,129,F
25828,R,44,185,142,F
25829,F,25,69,74,F
25830,X,219,48,63,X
25831,L,252,46,87,X
25832,F,20,60,60,F
25833,F,44,326,254,F
25834,X,202,41,44,X
25835,F,17,112,122,F
25836,F,18,78,82,F
25837,X,205,86,84,X
25838,L,260,48,53,L
25839,F,43,119,131,F
25840,F,10,50,53,F
25841,F,8,36,37,F
25842,F,26,72,79,F
25843,R,95,41,46,F
25844,X,213,82,80,X
25845,X,225,91,81,X
25846,R,77,70,128,F
25847,L,241,90,78,X
25848,X,219,45,43,X
25849,L,248,46,68,X
25850,L,236,62,59,X
25851,L,253,24,48,X
25852,X,213,82,93,X
25853,F,26,94,109,F
25854,R,54,179,165,F
25855,L,243,105,109,X
25856,F,336,30,41,L
25857,F,27,101,100,F
25858,L,250,37,39,X
25859,L,249,28,44,X
25860,L,235,148,114,X
25861,X,218,103,107,X
25862,X,226,121,88,X
25863,F,348,47,57,F
25864,R,62,128,144,F
25865,F,41,56,60,F
25866,R,50,170,202,F
25867,L,255,68,161,X
25868,L,235,86,96,X
25869,X,206,60,63,X
25870,R,60,150,193,F
25871,X,198,47,45,X
25872,R,93,57,112,F
25873,R,78,39,72,F
25874,L,241,82,78,X
25875,L,253,59,74,X
25876,L,223,95,74,X
25877,L,264,44,53,L
25878,L,253,63,132,X
25879,F,20,56,67,F
25880,R,67,313,421,F
25881,X,223,77,83,X
25882,R,70,137,227,F
25883,L,254,32,47,X
25884,L,257,67,71,L
25885,F,10,45,49,F
25886,L,250,47,83,X
25887,L,244,71,73,X
25888,L,300,121,140,F
25889,F,44,138,142,F
25890,L,251,62,102,X
25891,R,54,162,173,F
25892,X,201,57,59,X
25893,X,196,41,44,X
25894,R,118,118,135,X
25895,L,251,42,51,X
25896,F,23,66,71,F
25897,R,67,65,109,F
25898,L,253,32,44,X
25899,R,97,68,74,R
25900,L,241,72,83,X
25901,L,264,82,139,F
25902,L,247,53,66,X
25903,R,68,121,267,F
25904,L,245,81,115,X
25905,F,330,77,74,F
25906,R,71,59,109,F
25907,F,20,106,114,F
25908,R,71,104,170,F
25909,R,58,154,151,F
25910,X,212,51,50,X
25911,L,259,42,82,X
25912,X,196,40,43,X
25913,R,49,191,179,F
25914,F,32,127,137,F
25915,R,60,117,109,F
25916,R,74,68,144,F
25917,L,254,25,46,X
25918,X,203,90,97,X
25919,L,270,32,36,F
25920,F,22,78,73,F
25921,R,74,65,101,F
25922,R,82,54,153,F
25923,R,67,115,178,F
25924,F,20,72,85,F
25925,L,249,33,41,X
25926,F,21,77,87,F
25927,F,36,135,111,F
25928,R,67,122,166,F
25929,F,16,70,72,F
25930,R,60,175,187,F
25931,X,227,112,108,X
25932,X,209,59,74,X
25933,X,225,134,106,X
25934,F,335,118,125,F
25935,L,247,107,154,X
25936,R,108,47,114,X
25937,R,62,129,153,F
25938,L,272,48,84,X
25939,R,62,252,336,F
25940,L,248,58,91,X
25941,F,28,84,88,F
25942,X,219,65,50,X
25943,R,78,90,211,F
25944,F,41,68,53,F
25945,R,45,136,111,F
25946,F,24,86,84,F
25947,L,244,43,69,X
25948,F,19,99,101,F
25949,R,61,132,192,F
25950,F,17,87,89,F
25951,X,228,101,103,X
25952,F,19,93,100,F
25953,F,16,50,51,F
25954,R,68,121,224,F
25955,L,244,34,56,X
25956,R,82,87,149,F
25957,L,255,32,63,X
25958,F,14,120,109,F
25959,X,206,48,54,X
25960,L,242,39,54,X
25961,F,23,151,144,F
25962,L,249,67,84,X
25963,F,26,105,136,F
25964,R,63,105,112,F
25965,X,228,97,89,X
25966,R,67,111,147,F
25967,F,26,125,128,F
25968,X,226,42,34,X
25969,R,82,54,70,F
25970,R,112,47,40,R
25971,X,213,70,83,X
25972,R,73,67,168,F
25973,L,243,67,89,X
25974,X,201,49,53,X
25975,F,36,96,96,F
25976,R,54,223,178,F
25977,R,70,79,144,F
25978,R,46,144,125,F
25979,X,203,66,66,X
25980,F,20,56,57,F
25981,L,258,82,98,L
25982,R,87,60,127,F
25983,F,13,72,68,F
25984,L,236,39,35,X
25985,R,60,246,262,F
25986,F,32,122,128,F
25987,R,67,88,114,F
25988,X,200,45,50,X
25989,X,197,43,44,X
25990,L,231,38,37,X
25991,L,232,54,40,X
25992,R,66,63,114,F
25993,R,55,193,206,F
25994,X,221,75,81,X
25995,L,248,84,127,X
25996,F,17,87,89,F
25997,L,269,34,45,L
25998,R,58,109,97,F
25999,F,317,150,150,F
26000,R,52,104,91,F
26001,L,240,35,35,X
26002,F,15,48,53,F
26003,R,53,216,241,F
26004,L,245,31,45,X
26005,L,258,57,71,X
26006,X,197,40,45,X
26007,F,22,121,139,F
26008,R,94,36,42,F
26009,R,73,164,240,F
26010,X,196,144,140,X
26011,F,23,116,120,F
26012,F,9,37,40,F
26013,L,250,40,74,X
26014,X,221,105,84,X
26015,L,249,28,42,X
26016,R,67,112,106,F
26017,X,215,125,103,X
26018,F,24,44,41,F
26019,L,237,85,80,X
26020,X,203,70,75,X
26021,R,54,152,166,F
26022,L,252,214,221,X
26023,F,33,152,150,F
26024,R,66,55,84,F
26025,R,81,64,130,F
26026,X,211,47,62,X
26027,X,207,51,55,X
26028,X,212,49,48,X
26029,R,53,171,149,F
26030,L,253,51,85,X
26031,L,256,57,101,X
26032,L,221,75,56,X
26033,F,27,83,93,F
26034,F,24,146,154,F
26035,F,27,146,138,F
26036,R,43,177,177,F
26037,R,81,97,110,F
26038,R,46,238,227,F
26039,X,199,42,48,X
26040,X,226,106,124,X
26041,L,253,66,81,X
26042,F,19,89,96,F
26043,X,202,55,56,X
26044,L,304,99,123,F
26045,R,120,64,48,R
26046,R,82,49,99,F
26047,X,198,34,43,X
26048,F,27,130,128,F
26049,R,71,95,112,F
26050,F,37,171,166,F
26051,L,237,119,117,X
26052,F,29,77,84,F
26053,R,70,97,113,F
26054,L,247,39,42,X
26055,R,71,52,79,F
26056,R,60,100,116,F
26057,F,25,108,116,F
26058,R,66,129,175,F
26059,L,257,48,117,X
26060,R,78,74,178,F
26061,L,232,99,93,X
26062,F,21,77,74,F
26063,R,61,101,118,F
26064,F,13,93,96,F
26065,L,266,55,63,F
26066,X,207,62,66,X
26067,R,56,86,82,F
26068,X,210,64,68,X
26069,R,77,74,122,F
26070,L,253,61,81,X
26071,L,311,63,55,F
26072,R,93,32,63,F
26073,L,250,79,137,X
26074,F,19,71,83,F
26075,L,258,37,55,X
26076,F,15,88,92,F
26077,R,73,56,87,F
26078,F,17,58,58,F
26079,X,197,40,41,X
26080,F,12,93,92,F
26081,L,255,44,78,X
26082,R,73,44,46,F
26083,F,22,117,110,F
26084,X,214,76,73,X
26085,F,35,229,130,F
26086,L,255,88,139,X
26087,X,228,66,63,X
26088,X,219,56,68,X
26089,L,248,37,56,X
26090,R,44,96,102,F
26091,X,226,137,125,X
26092,F,19,79,80,F
26093,R,78,61,177,F
26094,X,226,121,112,X
26095,L,284,56,135,F
26096,X,204,101,106,X
26097,R,70,97,151,F
26098,L,243,62,75,X
26099,X,219,104,119,X
26100,R,135,50,39,X
26101,F,31,100,118,F
26102,X,201,36,61,X
26103,F,27,135,141,F
26104,F,16,91,98,F
26105,R,52,142,161,F
26106,F,25,100,100,F
26107,L,253,79,186,X
26108,X,201,36,34,X
26109,X,207,65,71,X
26110,X,220,75,66,X
26111,L,248,36,64,X
26112,R,62,276,381,F
26113,F,16,110,106,F
26114,X,215,49,45,X
26115,X,205,64,73,X
26116,L,242,51,57,X
26117,F,17,119,122,F
26118,R,45,166,146,F
26119,F,20,90,96,F
26120,F,23,82,76,F
26121,F,11,38,42,F
26122,X,196,50,51,X
26123,L,239,42,47,X
26124,R,87,45,114,F
26125,F,36,162,175,F
26126,F,11,36,32,F
26127,F,37,137,121,F
26128,L,252,68,94,X
26129,R,65,82,115,F
26130,L,303,63,72,F
26131,R,78,67,133,F
26132,X,221,87,102,X
26133,X,202,69,69,X
